Timestamp: 21-feb-2017 11.39.45
A_identical_or_random: 0
A_size_of: 2
C_identical_or_random: 0
C_links_between_species: 2
C_neighbours_or_random: 1
Collect_data: 2
Data_collection_file_name: NKCoutput.txt
Fitness_method: 0
Fitness_method_averaging_weightings: 0
Fitness_range_dp: 2
Fitness_threshold: 0.0
K_identical_or_random: 0
K_neighbours_or_random: 0
K_size_of: 4
N_size_of: 8
Next_neighbour_method: 0
Organization_walk_order: 0
Organization_walk_type: 0
Organizations_no_of: 1
S_species: 5
Simulation_halt: 500
Stop_simulation_early: 1
X_identical_or_random: 0
X_neighbours_or_random: 0
X_species: 2
Xml_file: default_xml_file.xml


"tick","Average Fitness 0","Maximum Fitness 0","Minimum Fitness 0","Average Wait Before Move 0","Maximum Wait Before Move 0","Minimum Wait Before Move 0","Average Number of Fitter Neighbours 0","Maximum Number of Fitter Neighbours 0","Minimum Number of Fitter Neighbours 0","Average Fitness 1","Maximum Fitness 1","Minimum Fitness 1","Average Wait Before Move 1","Maximum Wait Before Move 1","Minimum Wait Before Move 1","Average Number of Fitter Neighbours 1","Maximum Number of Fitter Neighbours 1","Minimum Number of Fitter Neighbours 1","Average Fitness 2","Maximum Fitness 2","Minimum Fitness 2","Average Wait Before Move 2","Maximum Wait Before Move 2","Minimum Wait Before Move 2","Average Number of Fitter Neighbours 2","Maximum Number of Fitter Neighbours 2","Minimum Number of Fitter Neighbours 2","Average Fitness 3","Maximum Fitness 3","Minimum Fitness 3","Average Wait Before Move 3","Maximum Wait Before Move 3","Minimum Wait Before Move 3","Average Number of Fitter Neighbours 3","Maximum Number of Fitter Neighbours 3","Minimum Number of Fitter Neighbours 3","Average Fitness 4","Maximum Fitness 4","Minimum Fitness 4","Average Wait Before Move 4","Maximum Wait Before Move 4","Minimum Wait Before Move 4","Average Number of Fitter Neighbours 4","Maximum Number of Fitter Neighbours 4","Minimum Number of Fitter Neighbours 4","Fraction Still Walking"
11.0,0.5750000008493662,0.5750000008493662,0.5750000008493662,1.0,1.0,1.0,2.0,2.0,2.0,0.6199999980926514,0.6199999980926514,0.6199999980926514,1.0,1.0,1.0,1.0,1.0,1.0,0.4909999951347709,0.4909999951347709,0.4909999951347709,2.0,2.0,2.0,3.0,3.0,3.0,0.595000001013279,0.595000001013279,0.595000001013279,8.0,8.0,8.0,2.0,2.0,2.0,0.5290000068023801,0.5290000068023801,0.5290000068023801,2.0,2.0,2.0,2.0,2.0,2.0,100.0
12.0,0.6250000009536743,0.6250000009536743,0.6250000009536743,3.0,3.0,3.0,1.0,1.0,1.0,0.5790000005960464,0.5790000005960464,0.5790000005960464,1.0,1.0,1.0,1.0,1.0,1.0,0.5039999920651317,0.5039999920651317,0.5039999920651317,1.0,1.0,1.0,5.0,5.0,5.0,0.573000000230968,0.573000000230968,0.573000000230968,2.0,2.0,2.0,4.0,4.0,4.0,0.5580000029876828,0.5580000029876828,0.5580000029876828,2.0,2.0,2.0,2.0,2.0,2.0,100.0
13.0,0.6250000009536743,0.6250000009536743,0.6250000009536743,3.0,3.0,3.0,1.0,1.0,1.0,0.5790000005960464,0.5790000005960464,0.5790000005960464,1.0,1.0,1.0,1.0,1.0,1.0,0.5039999920651317,0.5039999920651317,0.5039999920651317,1.0,1.0,1.0,5.0,5.0,5.0,0.573000000230968,0.573000000230968,0.573000000230968,2.0,2.0,2.0,4.0,4.0,4.0,0.5580000029876828,0.5580000029876828,0.5580000029876828,2.0,2.0,2.0,2.0,2.0,2.0,100.0
14.0,0.6250000009313226,0.6250000009313226,0.6250000009313226,3.0,3.0,3.0,1.0,1.0,1.0,0.578999999165535,0.578999999165535,0.578999999165535,1.0,1.0,1.0,1.0,1.0,1.0,0.5929999925419688,0.5929999925419688,0.5929999925419688,1.0,1.0,1.0,2.0,2.0,2.0,0.5580000018998981,0.5580000018998981,0.5580000018998981,2.0,2.0,2.0,4.0,4.0,4.0,0.5770000023767352,0.5770000023767352,0.5770000023767352,3.0,3.0,3.0,3.0,3.0,3.0,100.0
15.0,0.6470000013709069,0.6470000013709069,0.6470000013709069,3.0,3.0,3.0,0.0,0.0,0.0,0.5669999997615814,0.5669999997615814,0.5669999997615814,1.0,1.0,1.0,2.0,2.0,2.0,0.505999989323318,0.505999989323318,0.505999989323318,1.0,1.0,1.0,4.0,4.0,4.0,0.5499999996125698,0.5499999996125698,0.5499999996125698,3.0,3.0,3.0,3.0,3.0,3.0,0.6240000037476421,0.6240000037476421,0.6240000037476421,1.0,1.0,1.0,1.0,1.0,1.0,100.0
16.0,0.6470000013709069,0.6470000013709069,0.6470000013709069,3.0,3.0,3.0,0.0,0.0,0.0,0.5669999997615814,0.5669999997615814,0.5669999997615814,1.0,1.0,1.0,2.0,2.0,2.0,0.505999989323318,0.505999989323318,0.505999989323318,1.0,1.0,1.0,4.0,4.0,4.0,0.5499999996125698,0.5499999996125698,0.5499999996125698,3.0,3.0,3.0,3.0,3.0,3.0,0.6240000037476421,0.6240000037476421,0.6240000037476421,1.0,1.0,1.0,1.0,1.0,1.0,100.0
17.0,0.6629999970793724,0.6629999970793724,0.6629999970793724,3.0,3.0,3.0,2.0,2.0,2.0,0.6069999997615814,0.6069999997615814,0.6069999997615814,1.0,1.0,1.0,3.0,3.0,3.0,0.5329999892041087,0.5329999892041087,0.5329999892041087,5.0,5.0,5.0,3.0,3.0,3.0,0.5500000022351742,0.5500000022351742,0.5500000022351742,3.0,3.0,3.0,3.0,3.0,3.0,0.6240000037476421,0.6240000037476421,0.6240000037476421,1.0,1.0,1.0,1.0,1.0,1.0,100.0
18.0,0.5829999939203263,0.5829999939203263,0.5829999939203263,3.0,3.0,3.0,2.0,2.0,2.0,0.6639999985694885,0.6639999985694885,0.6639999985694885,9.0,9.0,9.0,1.0,1.0,1.0,0.5329999892041087,0.5329999892041087,0.5329999892041087,5.0,5.0,5.0,3.0,3.0,3.0,0.5179999999701976,0.5179999999701976,0.5179999999701976,3.0,3.0,3.0,3.0,3.0,3.0,0.6529999999329448,0.6529999999329448,0.6529999999329448,1.0,1.0,1.0,1.0,1.0,1.0,100.0
19.0,0.58299999833107,0.58299999833107,0.58299999833107,3.0,3.0,3.0,2.0,2.0,2.0,0.6949999980926513,0.6949999980926513,0.6949999980926513,9.0,9.0,9.0,1.0,1.0,1.0,0.5149999903962016,0.5149999903962016,0.5149999903962016,5.0,5.0,5.0,3.0,3.0,3.0,0.5750000007450581,0.5750000007450581,0.5750000007450581,4.0,4.0,4.0,2.0,2.0,2.0,0.6529999999329448,0.6529999999329448,0.6529999999329448,1.0,1.0,1.0,1.0,1.0,1.0,100.0
20.0,0.5860000014305115,0.5860000014305115,0.5860000014305115,2.0,2.0,2.0,2.0,2.0,2.0,0.6949999988079071,0.6949999988079071,0.6949999988079071,9.0,9.0,9.0,1.0,1.0,1.0,0.514999988488853,0.514999988488853,0.514999988488853,5.0,5.0,5.0,3.0,3.0,3.0,0.6179999984800816,0.6179999984800816,0.6179999984800816,4.0,4.0,4.0,1.0,1.0,1.0,0.609999998472631,0.609999998472631,0.609999998472631,1.0,1.0,1.0,2.0,2.0,2.0,100.0
21.0,0.5779999973773957,0.5779999973773957,0.5779999973773957,1.0,1.0,1.0,1.0,1.0,1.0,0.6669999997615814,0.6669999997615814,0.6669999997615814,9.0,9.0,9.0,3.0,3.0,3.0,0.5449999896809459,0.5449999896809459,0.5449999896809459,4.0,4.0,4.0,2.0,2.0,2.0,0.5659999988973141,0.5659999988973141,0.5659999988973141,4.0,4.0,4.0,2.0,2.0,2.0,0.595999993942678,0.595999993942678,0.595999993942678,1.0,1.0,1.0,1.0,1.0,1.0,100.0
22.0,0.6179999992251396,0.6179999992251396,0.6179999992251396,1.0,1.0,1.0,0.0,0.0,0.0,0.6670000001788139,0.6670000001788139,0.6670000001788139,9.0,9.0,9.0,3.0,3.0,3.0,0.5989999923035503,0.5989999923035503,0.5989999923035503,4.0,4.0,4.0,0.0,0.0,0.0,0.6319999989569187,0.6319999989569187,0.6319999989569187,4.0,4.0,4.0,2.0,2.0,2.0,0.7419999957084655,0.7419999957084655,0.7419999957084655,7.0,7.0,7.0,0.0,0.0,0.0,100.0
23.0,0.5379999985098839,0.5379999985098839,0.5379999985098839,1.0,1.0,1.0,3.0,3.0,3.0,0.6879999980330467,0.6879999980330467,0.6879999980330467,5.0,5.0,5.0,2.0,2.0,2.0,0.598999991826713,0.598999991826713,0.598999991826713,4.0,4.0,4.0,0.0,0.0,0.0,0.6319999970495701,0.6319999970495701,0.6319999970495701,4.0,4.0,4.0,2.0,2.0,2.0,0.6259999919682742,0.6259999919682742,0.6259999919682742,7.0,7.0,7.0,1.0,1.0,1.0,100.0
24.0,0.6209999963641166,0.6209999963641166,0.6209999963641166,2.0,2.0,2.0,0.0,0.0,0.0,0.6879999980330467,0.6879999980330467,0.6879999980330467,5.0,5.0,5.0,2.0,2.0,2.0,0.598999991826713,0.598999991826713,0.598999991826713,4.0,4.0,4.0,0.0,0.0,0.0,0.5889999993145466,0.5889999993145466,0.5889999993145466,4.0,4.0,4.0,3.0,3.0,3.0,0.47799999453127384,0.47799999453127384,0.47799999453127384,7.0,7.0,7.0,5.0,5.0,5.0,100.0
25.0,0.5949999969601631,0.5949999969601631,0.5949999969601631,2.0,2.0,2.0,1.0,1.0,1.0,0.703999999165535,0.703999999165535,0.703999999165535,2.0,2.0,2.0,1.0,1.0,1.0,0.598999991826713,0.598999991826713,0.598999991826713,4.0,4.0,4.0,0.0,0.0,0.0,0.5889999993145466,0.5889999993145466,0.5889999993145466,4.0,4.0,4.0,3.0,3.0,3.0,0.44599999524652956,0.44599999524652956,0.44599999524652956,7.0,7.0,7.0,6.0,6.0,6.0,100.0
26.0,0.5949999962002039,0.5949999962002039,0.5949999962002039,2.0,2.0,2.0,1.0,1.0,1.0,0.5919999994039535,0.5919999994039535,0.5919999994039535,2.0,2.0,2.0,2.0,2.0,2.0,0.47999999683350325,0.47999999683350325,0.47999999683350325,4.0,4.0,4.0,3.0,3.0,3.0,0.5679999910891056,0.5679999910891056,0.5679999910891056,7.0,7.0,7.0,4.0,4.0,4.0,0.4829999919980764,0.4829999919980764,0.4829999919980764,4.0,4.0,4.0,5.0,5.0,5.0,100.0
27.0,0.6909999936819077,0.6909999936819077,0.6909999936819077,3.0,3.0,3.0,0.0,0.0,0.0,0.605999999910593,0.605999999910593,0.605999999910593,2.0,2.0,2.0,1.0,1.0,1.0,0.5539999999403953,0.5539999999403953,0.5539999999403953,4.0,4.0,4.0,4.0,4.0,4.0,0.4479999907314777,0.4479999907314777,0.4479999907314777,1.0,1.0,1.0,5.0,5.0,5.0,0.5369999941438437,0.5369999941438437,0.5369999941438437,4.0,4.0,4.0,3.0,3.0,3.0,100.0
